class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
ValueContainer, //4, //4, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20061115, //include/configreader.h, //81
DLLFactory, //1, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20040417, //include/dynamic.h, //114

base class, developer, email, edit time, definition file path, line, sub-class hierarchy
classbase, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20030126, //include/base.h, //30, //0:classbase//1:BoolSet//1:Extensible//2:Resolver//3:SQLresolver//3:DNSBLResolver//3:HTTPResolver//3:MyV6Resolver//3:UserResolver//3:CGIResolver//3:SecurityIPResolver//3:ServernameResolver//2:ServerConfig//2:command_t//3:cmd_userip//3:cmd_zline//3:cmd_sajoin//3:cmd_sapart//3:cmd_chgident//3:cmd_filter//3:cmd_setidle//3:cmd_unloadmodule//3:cmd_trace//3:cmd_privmsg//3:cmd_opermotd//3:cmd_swhois//3:cmd_randquote//3:cmd_join//3:cmd_dccallow//3:cmd_server//3:cmd_helpop//3:cmd_chghost//3:cmd_admin//3:cmd_lusers//3:cmd_pass//3:cmd_setident//3:cmd_reload//3:cmd_ison//3:cmd_list//3:cmd_topic//3:cmd_modules//3:cmd_away//3:cmd_nicklock//3:cmd_nickunlock//3:cmd_rules//3:cmd_who//3:cmd_saquit//3:cmd_uninvite//3:cmd_oper//3:cmd_kline//3:cmd_whois//3:cmd_wallops//3:cmd_users//3:cmd_kick//3:cmd_connect//3:cmd_alltime//3:cmd_cban//3:cmd_links//3:cmd_setname//3:cmd_sethost//3:cmd_woot//3:cmd_silence//3:cmd_user//3:cmd_userhost//3:cmd_restart//3:cmd_pong//3:cmd_notice//3:cmd_tline//3:cmd_info//3:cmd_quit//3:cmd_fpart//3:cmd_remove//3:cmd_gloadmodule//3:cmd_greloadmodule//3:cmd_gunloadmodule//3:cmd_nick//3:cmd_tban//3:cmd_sslinfo//3:cmd_names//3:cmd_time//3:cmd_mkpasswd//3:cmd_clearcache//3:cmd_sanick//3:cmd_squit//3:cmd_spylist//3:cmd_spynames//3:cmd_check//3:cmd_webirc//3:cmd_rconnect//3:cmd_lockserv//3:cmd_unlockserv//3:cmd_fingerprint//3:cmd_devoice//3:cmd_gline//3:cmd_rehash//3:cmd_die//3:cmd_watch//3:cmd_whowas//3:cmd_samode//3:cmd_silence//3:cmd_eline//3:cmd_mode//3:cmd_stats//3:cmd_vhost//3:cmd_knock//3:cmd_globops//3:cmd_kill//3:cmd_loadmodule//3:cmd_motd//3:cmd_part//3:cmd_qline//3:cmd_ping//3:cmd_map//3:cmd_svshold//3:cmd_commands//3:cmd_version//3:cmd_summon//3:cmd_invite//2:Module//3:ModuleRestrictChans//3:ModuleUserIP//3:ModuleDenyChannels//3:ModuleSQLOper//3:ModuleModesOnConnect//3:ModuleSajoin//3:ModuleWaitPong//3:ModuleSapart//3:ModuleChgIdent//3:FilterBase//4:ModuleFilterPCRE//4:ModuleFilter//3:ModuleSetIdle//3:ModulePgSQL//3:ModuleOpermotd//3:ModuleNoNotice//3:ModuleSWhois//3:ModuleRandQuote//3:ModuleMD5//3:ModuleModesOnOper//3:ModuleDCCAllow//3:ModuleDNSBL//3:ModuleHelpop//3:ModuleMsgFlood//3:ModuleChgHost//3:ModuleRedirect//3:ModuleBotMode//3:ModuleSetIdent//3:ModuleConnJoin//3:ModuleStripColor//3:ModuleHttpStats//3:ModuleHttpServer//3:ModuleNickLock//3:ModuleFoobar//3:ModuleJoinFlood//3:ModuleSaquit//3:ModuleUninvite//3:ModuleOperLog//3:ModuleSQLite3//3:ModuleShowwhois//3:ModuleHTTPClient//3:Modulealltime//3:ModuleCBan//3:ModuleSetName//3:ModuleSetHost//3:ModuleTestCommand//3:ModuleSilence//3:ModuleAntiBear//3:ModuleBanException//3:ModuleTestClient//3:ModuleBlockColour//3:ModuleSQLutils//3:ModuleTLine//3:ModuleRemove//3:ModuleGlobalLoad//3:ModuleSSLOpenSSL//3:ModuleKickNoRejoin//3:ModuleTimedBans//3:ModuleZLib//3:ModuleSSLInfo//3:ModuleConnLUSERS//3:ModuleBlockCAPS//3:ModuleSecureList//3:ModuleHideChans//3:ModuleOperHash//3:ModuleSanick//3:ModuleNamesX//3:ModuleNoInvite//3:ModuleSSLModes//3:ModuleSQL//3:ModuleHostChange//3:ModuleSpy//3:ModuleSSLDummy//3:ModuleCheck//3:ModuleCgiIRC//3:ModuleChanProtect//3:ModuleLockserv//3:ModuleNoCTCP//3:ModuleOperSSLCert//3:ModuleDeaf//3:ModuleRestrictBanned//3:ModuleDeVoice//3:ModuleBanRedirect//3:ModuleCensor//3:ModuleServicesAccount//3:Modulewatch//3:ModuleOperLevels//3:ModuleOverride//3:ModuleSSLGnuTLS//3:ModuleSaMode//3:ModuleHideOper//3:ModuleSilence//3:ModuleCloaking//3:ModuleVHost//3:ModuleKnock//3:ModuleGlobops//3:ModuleRestrictMsg//3:ModuleOperjoin//3:ModuleChanFilter//3:ModuleSpanningTree//3:ModuleServices//3:ModuleBlockAmsg//3:ModuleConnFlood//3:ModuleSHA256//3:ModuleInviteException//3:ModuleOperChans//3:ModuleSVSHold//3:MyModule//3:ModuleAntiBottler//3:ModuleIdent//3:ModuleSQLAuth//3:ModuleNoNickChange//3:ModuleSafeList//3:ModuleSQLLog//3:ModuleAlias//3:ModuleNoKicks//2:ModuleMessage//3:Event//3:Request//4:AssociateChan//4:AssociateUser//4:GetAssocChan//4:GetAssocUser//4:UnAssociate//4:SQLrequest//4:SQLresult//5:PgSQLresult//5:SQLite3Result//5:MySQLresult//4:ListModeRequest//4:HashRequest//5:HashHexRequest//5:HashKeyRequest//5:HashNameRequest//5:HashResetRequest//5:HashSumRequest//4:HTTPClientRequest//4:HTTPClientResponse//4:ISHRequest//5:InspSocketAttachCertRequest//5:InspSocketHSCompleteRequest//5:InspSocketHookRequest//5:InspSocketNameRequest//5:InspSocketUnhookRequest//2:InspTimer//3:HandshakeTimer//3:ReconnectTimer//3:TimeSyncTimer//3:HttpServerTimeout//3:MaintainTimer//3:CacheTimer//3:RequestTimeout//3:SocketTimeout//2:TimerManager//2:ModeHandler//3:ModeChannelLimit//3:ModeUserServerNotice//3:NoNotice//3:Helpop//3:MsgFlood//3:Redirect//3:BotMode//3:ModeChannelKey//3:ChannelStripColor//3:UserStripColor//3:JoinFlood//3:SeeWhois//3:ModeChannelPrivate//3:BlockColor//3:ListModeBase//4:BanException//4:ChanFilter//4:InviteException//3:ModeChannelVoice//3:ModeUserWallops//3:KickRejoin//3:ModeChannelInviteOnly//3:BlockCaps//3:HideChans//3:ModeChannelOp//3:ModeChannelBan//3:NoInvite//3:SSLMode//3:ChanFounder//3:ChanProtect//3:ModeChannelHalfOp//3:ModeUserInvisible//3:NoCTCP//3:User_d//3:CensorChannel//3:CensorUser//3:ModeChannelNoExternal//3:AChannel_M//3:AChannel_R//3:AUser_R//3:ModeUserOperator//3:HideOper//3:CloakUser//3:ModeChannelTopicOps//3:Knock//3:Channel_M//3:Channel_R//3:Channel_r//3:User_R//3:User_r//3:ModeChannelModerated//3:ModeUserServerNoticeMask//3:OperChans//3:ModeChannelSecret//3:NoNicks//3:NoKicks//2:ModeWatcher//3:BanRedirect//2:EventHandler//3:SQLConn//3:DNS//3:FileLogger//3:connection//4:userrec//3:ListenSocket//3:InspSocket//4:HttpServerSocket//4:ResultNotifier//4:HTTPSocket//4:Notifier//4:TreeSocket//4:RFC1413//2:SocketEngine//3:KQueueEngine//3:SelectEngine//3:EPollEngine//2:chanrec//2:SnomaskManager//1:FilterResult//2:PCREFilter//1:QueryQueue//1:SQLerror//1:SQLquery//1:MD5Context//1:floodsettings//1:CommandParser//1:DNSResult//1:joinfloodsettings//1:SQLConn//1:TreeServer//1:CBan//1:ConfigReader//1:FileReader//1:ModuleFactory//2:ModuleRestrictChansFactory//2:ModuleUserIPFactory//2:ModuleDenyChannelsFactory//2:ModuleSQLOperFactory//2:ModuleModesOnConnectFactory//2:ModuleSajoinFactory//2:ModuleWaitPongFactory//2:ModuleSapartFactory//2:ModuleChgIdentFactory//2:ModuleSetIdleFactory//2:ModulePgSQLFactory//2:ModuleOpermotdFactory//2:ModuleNoNoticeFactory//2:ModuleSWhoisFactory//2:ModuleRandQuoteFactory//2:ModuleMD5Factory//2:ModuleModesOnOperFactory//2:ModuleDCCAllowFactory//2:ModuleDNSBLFactory//2:ModuleHelpopFactory//2:ModuleMsgFloodFactory//2:ModuleChgHostFactory//2:ModuleRedirectFactory//2:ModuleBotModeFactory//2:ModuleSetIdentFactory//2:ModuleConnJoinFactory//2:ModuleFilterPCREFactory//2:ModuleStripColorFactory//2:ModuleHttpStatsFactory//2:ModuleHttpServerFactory//2:ModuleNickLockFactory//2:ModuleFoobarFactory//2:ModuleJoinFloodFactory//2:ModuleSaquitFactory//2:ModuleUninviteFactory//2:ModuleOperLogFactory//2:ModuleFilterFactory//2:ModuleSQLite3Factory//2:ModuleShowwhoisFactory//2:ModuleHTTPClientFactory//2:ModulealltimeFactory//2:ModuleCBanFactory//2:ModuleSetNameFactory//2:ModuleSetHostFactory//2:ModuleTestCommandFactory//2:ModuleSilenceFactory//2:ModuleAntiBearFactory//2:ModuleBanExceptionFactory//2:ModuleTestClientFactory//2:ModuleBlockColourFactory//2:ModuleSQLutilsFactory//2:ModuleTLineFactory//2:ModuleRemoveFactory//2:ModuleGlobalLoadFactory//2:ModuleSSLOpenSSLFactory//2:ModuleKickNoRejoinFactory//2:ModuleTimedBansFactory//2:ModuleZLibFactory//2:ModuleSSLInfoFactory//2:ModuleConnLUSERSFactory//2:ModuleBlockCAPSFactory//2:ModuleSpanningTreeFactory//2:ModuleSecureListFactory//2:ModuleHideChansFactory//2:ModuleOperHashFactory//2:ModuleSanickFactory//2:ModuleNamesXFactory//2:ModuleNoInviteFactory//2:ModuleSSLModesFactory//2:ModuleSQLFactory//2:ModuleHostChangeFactory//2:ModuleSpyFactory//2:ModuleSSLDummyFactory//2:ModuleCheckFactory//2:ModuleCgiIRCFactory//2:ModuleChanProtectFactory//2:ModuleLockservFactory//2:ModuleNoCTCPFactory//2:ModuleOperSSLCertFactory//2:ModuleDeafFactory//2:ModuleRestrictBannedFactory//2:ModuleDeVoiceFactory//2:ModuleBanRedirectFactory//2:ModuleCensorFactory//2:ModuleServicesAccountFactory//2:ModulewatchFactory//2:ModuleOperLevelsFactory//2:ModuleOverrideFactory//2:ModuleSSLGnuTLSFactory//2:ModuleSaModeFactory//2:ModuleHideOperFactory//2:ModuleSilenceFactory//2:ModuleCloakingFactory//2:ModuleVHostFactory//2:ModuleKnockFactory//2:ModuleGlobopsFactory//2:ModuleRestrictMsgFactory//2:ModuleOperjoinFactory//2:ModuleChanFilterFactory//2:ModuleServicesFactory//2:ModuleBlockAmsgFactory//2:ModuleConnFloodFactory//2:ModuleSHA256Factory//2:ModuleInviteExceptionFactory//2:ModuleOperChansFactory//2:ModuleSVSHoldFactory//2:MyModuleFactory//2:ModuleAntiBottlerFactory//2:ModuleIdentFactory//2:ModuleSQLAuthFactory//2:ModuleNoNickChangeFactory//2:ModuleSafeListFactory//2:ModuleSQLLogFactory//2:ModuleAliasFactory//2:ModuleNoKicksFactory//1:Version//1:ListItem//1:ListLimit//1:InspIRCd//1:serverstats//1:irc::dynamicbitmask//1:irc::portparser//1:irc::sepstream//2:irc::commasepstream//2:irc::spacesepstream//1:issl_session//1:ConnectClass//1:TimedBan//1:XLine//2:ELine//2:GLine//2:KLine//2:QLine//2:ZLine//1:CountedBuffer//1:izip_session//1:ModeParser//1:Link//1:SQLConnection//1:Host//1:CGIhost//1:WhoWasGroup//1:issl_session//1:HostItem//2:BanItem//1:BlockedMessage//1:CullItem//1:CullList//1:SHA256Context//1:SVSHold//1:ListData//1:HTTPDocument//1:HTTPRequest//1:Alias
ValueContainerBase, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20061115, //include/configreader.h, //66, //0:ValueContainerBase//1:ValueContainer
DLLManager, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20030123, //include/dynamic.h, //30, //0:DLLManager//1:DLLFactoryBase//2:DLLFactory
RemoveBase, //om, //om@e03df62e-2008-0410-955e-edbf42e46eb7, //20060807, //src/modules/m_remove.cpp, //31, //0:RemoveBase//1:cmd_fpart//1:cmd_remove
FounderProtectBase, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20060825, //src/modules/m_chanprotect.cpp, //35, //0:FounderProtectBase//1:ChanFounder//1:ChanProtect
