class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
sdbtools::OLegacySingletonRegistration, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/dbaccess/source/sdbtools/inc/module_sdbt.hxx, //36
sdbtools::OSingletonRegistration, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/dbaccess/source/sdbtools/inc/module_sdbt.hxx, //36
ScfDelList, //19, //16, //rcweir, //rcweir@unknown, //20110816, //main/sc/source/filter/inc/ftools.hxx, //416
ary::stg::Storage, //25, //1, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/ary/inc/store/s_storage.hxx, //44
ary::StdConstIterator, //18, //8, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/inc/ary/stdconstiter.hxx, //40
OHardRefMap, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/connectivity/source/sdbcx/VCollection.cxx, //54
vos::ORef, //99, //16, //rcweir, //rcweir@unknown, //20110816, //main/vos/inc/vos/ref.hxx, //48
bridges::cpp_uno::shared::GuardedArray, //2, //2, //rcweir, //rcweir@unknown, //20110816, //main/bridges/source/cpp_uno/shared/guardedarray.hxx, //29
SubPe, //36, //28, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/parser/inc/semantic/sub_pe.hxx, //38
SubPeUse, //34, //27, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/parser/inc/semantic/sub_peu.hxx, //40
frm::OMultiInstanceAutoRegistration, //4, //1, //rcweir, //rcweir@unknown, //20110816, //main/forms/source/inc/forms_module.hxx, //125
frm::OOneInstanceAutoRegistration, //4, //1, //rcweir, //rcweir@unknown, //20110816, //main/forms/source/inc/forms_module.hxx, //168
rtl::StaticAggregate, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/rtl/instance.hxx, //392
cppu::WeakAggComponentImplHelper10, //1, //0, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/compbase10.hxx, //107
cppu::WeakComponentImplHelper10, //1, //0, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/compbase10.hxx, //56
slideshow::internal::ListenerContainerBase, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/slideshow/source/inc/listenercontainer.hxx, //59
slideshow::internal::ThreadSafeListenerContainer, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/slideshow/source/inc/listenercontainer.hxx, //286
slideshow::internal::ThreadUnsafeListenerContainer, //3, //1, //rcweir, //rcweir@unknown, //20110816, //main/slideshow/source/inc/listenercontainer.hxx, //301
osl::ClearableGuard, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/osl/mutex.hxx, //161
ThetaCompare, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/basegfx/source/workbench/convexhull.cxx, //55
o3tl::range, //39, //5, //rcweir, //rcweir@unknown, //20110816, //main/o3tl/inc/o3tl/range.hxx, //44
inprocserv::ComSmart, //14, //2, //rcweir, //rcweir@unknown, //20110816, //main/embedserv/source/inprocserv/smartpointer.hxx, //45
HtmlFactory, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/display/inc/toolkit/htmlfactory.hxx, //45
cppu::WeakAggComponentImplHelper4, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/compbase4.hxx, //107
cppu::WeakComponentImplHelper4, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/compbase4.hxx, //56
comphelper::MakeMap, //5, //4, //rcweir, //rcweir@unknown, //20110816, //main/comphelper/inc/comphelper/InlineContainer.hxx, //120
sw::UnoImplPtr, //14, //1, //rcweir, //rcweir@unknown, //20110816, //main/sw/inc/unobaseclass.hxx, //107
tools::WeakBase, //4, //1, //rcweir, //rcweir@unknown, //20110816, //main/tools/inc/tools/weakbase.h, //132
tools::WeakReference, //29, //1, //rcweir, //rcweir@unknown, //20110816, //main/tools/inc/tools/weakbase.h, //80
comphelper::SettingsHelperNoState, //2, //2, //rcweir, //rcweir@unknown, //20110816, //main/comphelper/inc/comphelper/SettingsHelper.hxx, //49
com::sun::star::uno::WeakReference, //40, //24, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/weakref.hxx, //122
sfx::ItemControlConnection, //12, //7, //rcweir, //rcweir@unknown, //20110816, //main/sfx2/inc/sfx2/itemconnect.hxx, //244
sfx::SingleControlWrapper, //2, //1, //rcweir, //rcweir@unknown, //20110816, //main/sfx2/inc/sfx2/controlwrapper.hxx, //194
sfx::ValueSetWrapper, //5, //3, //rcweir, //rcweir@unknown, //20110816, //main/sfx2/inc/sfx2/controlwrapper.hxx, //410
ScBitMaskCompressedArray, //24, //2, //rcweir, //rcweir@unknown, //20110816, //main/sc/inc/compressedarray.hxx, //440
vcl::solarthread::detail::GenericSolarThreadExecutor, //4, //3, //rcweir, //rcweir@unknown, //20110816, //main/vcl/inc/vcl/threadex.hxx, //89
vcl::solarthread::detail::GenericSolarThreadExecutor, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/vcl/inc/vcl/threadex.hxx, //132
vcl::solarthread::detail::copy_back_wrapper, //3, //1, //rcweir, //rcweir@unknown, //20110816, //main/vcl/inc/vcl/threadex.hxx, //171
canvas::FloatBitmapBase, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/canvas/inc/canvas/base/floatbitmapbase.hxx, //69
dxcanvas::COMReference, //10, //2, //rcweir, //rcweir@unknown, //20110816, //main/canvas/source/directx/dx_winstuff.hxx, //121
basegfx::B2DConnectedRanges, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/basegfx/inc/basegfx/range/b2dconnectedranges.hxx, //66
o3tl::cow_wrapper, //20, //14, //rcweir, //rcweir@unknown, //20110816, //main/o3tl/inc/o3tl/cow_wrapper.hxx, //169
osl::ResettableGuard, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/osl/mutex.hxx, //207
osl::DebugBase, //2, //1, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/osl/diagnose.hxx, //170
oox::Matrix, //7, //2, //rcweir, //rcweir@unknown, //20110816, //main/oox/inc/oox/helper/containerhelper.hxx, //98
ary::stg::Base, //16, //1, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/ary/inc/store/s_base.hxx, //49
xmloff::OColumnImport, //2, //1, //rcweir, //rcweir@unknown, //20110816, //main/xmloff/source/forms/elementimport.hxx, //641
xmloff::OContainerImport, //5, //3, //rcweir, //rcweir@unknown, //20110816, //main/xmloff/source/forms/elementimport.hxx, //598
ScVbaFormat, //9, //0, //rcweir, //rcweir@unknown, //20110816, //main/sc/source/ui/vba/vbaformat.hxx, //40
LinkedListIterator, //23, //7, //rcweir, //rcweir@unknown, //20110816, //main/hwpfilter/source/list.hxx, //73
oox::drawingml::chart::ModelMap, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/oox/inc/oox/drawingml/chart/modelbase.hxx, //81
